Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
188.739000082016,188.69000005722046,0.003999948501586914,15.0,71.0,8.0,38.0,-63.7
221.28600001335144,221.2850000858307,0.0,19.0,65.0,1.0,34.0,-57.3
161.1579999923706,161.15199995040894,0.0,7.0,165.0,71.0,16.0,-26.0
181.4579999446869,181.4520001411438,0.0,14.0,226.0,50.0,24.0,-58.7
161.18499994277954,161.1840000152588,0.0,9.0,143.0,64.0,32.0,-52.7
161.4170000553131,161.4170000553131,0.0,13.0,103.0,60.0,44.3,-78.0
161.6710000038147,161.67000007629395,0.0,16.0,126.0,62.0,42.7,-68.0
141.22699999809265,141.22300004959106,0.0,11.0,84.0,20.0,38.0,-70.3
161.17000007629395,161.17000007629395,0.0,9.0,267.0,23.0,29.0,-64.3
181.46600008010864,181.46399998664856,0.0,19.0,171.0,27.0,28.7,-32.7
181.39100003242493,181.38700008392334,0.0,8.0,216.0,12.0,12.0,-25.7
181.39299988746643,181.37999987602234,0.0,14.0,20.0,38.0,29.7,-55.7
141.2440001964569,141.23400020599365,0.0,6.0,49.0,68.0,32.7,-63.0
181.35599994659424,181.35599994659424,0.0,19.0,91.0,16.0,41.3,-67.3
181.22099995613098,181.22000002861023,0.0,10.0,181.0,43.0,22.7,-25.7
181.78600001335144,181.78600001335144,0.0,20.0,42.0,53.0,41.3,-71.0
181.16499996185303,181.16100001335144,0.0,7.0,173.0,7.0,5.7,-11.7
161.3550000190735,161.3510000705719,0.0,16.0,116.0,35.0,41.0,-68.3
201.76699995994568,201.76699995994568,0.0,19.0,7.0,56.0,35.0,-59.0
161.2299997806549,161.2299997806549,0.0,13.0,154.0,25.0,22.0,-28.0
161.50499987602234,161.5039999485016,0.0,14.0,228.0,60.0,27.3,-63.3
138.45300006866455,138.45199990272522,0.0,13.0,97.0,50.0,44.0,-77.3
157.03600001335144,157.03399991989136,0.0,19.0,84.0,16.0,41.3,-68.7
159.0880000591278,159.0880000591278,0.0,16.0,116.0,35.0,41.0,-68.3
159.9909999370575,159.98600006103516,0.0,18.0,249.0,71.0,46.0,-74.7
140.45500016212463,140.4539999961853,0.0,8.0,111.0,63.0,38.3,-71.0
160.71599984169006,160.71299982070923,0.0,15.0,20.0,57.0,39.3,-62.7
140.84100008010864,140.84100008010864,0.0,7.0,53.0,53.0,30.3,-64.0
181.2079999446869,181.20600008964539,0.0,16.0,139.0,62.0,34.0,-60.3
