Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
188.7279999256134,188.6600000858307,0.005000114440917969,15.0,71.0,8.0,38.0,-63.7
183.92900013923645,183.92900013923645,0.0,19.0,65.0,1.0,34.0,-57.3
126.75200009346008,126.75200009346008,0.0,7.0,165.0,71.0,16.0,-26.0
169.0350000858307,169.0350000858307,0.0,14.0,226.0,50.0,24.0,-58.7
160.99399995803833,160.99300003051758,0.0,9.0,143.0,64.0,32.0,-52.7
141.24300003051758,141.24200010299683,0.0,13.0,103.0,60.0,44.3,-78.0
161.38700008392334,161.38700008392334,0.0,16.0,126.0,62.0,42.7,-68.0
141.0279998779297,141.0279998779297,0.0,11.0,84.0,20.0,38.0,-70.3
155.83699989318848,155.83699989318848,0.0,9.0,267.0,23.0,29.0,-64.3
171.90400004386902,171.90400004386902,0.0,19.0,171.0,27.0,28.7,-32.7
180.05399990081787,180.05399990081787,0.0,8.0,216.0,12.0,12.0,-25.7
180.97800016403198,180.97699999809265,0.0,14.0,20.0,38.0,29.7,-55.7
140.94299983978271,140.94299983978271,0.0,6.0,49.0,68.0,32.7,-63.0
181.06699991226196,181.0659999847412,0.0,19.0,91.0,16.0,41.3,-67.3
181.07799983024597,181.07799983024597,0.0,10.0,181.0,43.0,22.7,-25.7
201.78399991989136,201.78399991989136,0.0,20.0,42.0,53.0,41.3,-71.0
181.00300002098083,181.00200009346008,0.0,7.0,173.0,7.0,5.7,-11.7
161.22199988365173,161.22199988365173,0.0,16.0,116.0,35.0,41.0,-68.3
201.5310001373291,201.52899980545044,0.0,19.0,7.0,56.0,35.0,-59.0
161.05299997329712,161.05299997329712,0.0,13.0,154.0,25.0,22.0,-28.0
181.5130000114441,181.5130000114441,0.0,15.0,73.0,9.0,37.7,-63.7
161.34599995613098,161.34500002861023,0.0,6.0,314.0,23.0,26.0,-44.0
181.55200004577637,181.55200004577637,0.0,17.0,255.0,39.0,44.3,-73.0
141.3970000743866,141.39599990844727,0.0,13.0,89.0,61.0,44.3,-81.3
181.19799995422363,181.19799995422363,0.0,13.0,219.0,51.0,24.3,-51.0
160.9720001220703,160.96799993515015,0.0,7.0,261.0,0.0,24.7,-51.7
